Card Set,Number,Player,Team,Seq.
AKA Green,11,Tyrann Mathieu,Arizona Cardinals,5
AKA Green,12,Christian Okoye,Kansas City Chiefs,5
AKA Green,13,Ed Reed,Baltimore Ravens,5
AKA Green,14,Gale Sayers,Chicago Bears,5
AKA Green,15,Tom Brady,New England Patriots,5
AKA Green,16,Jerry Rice,San Francisco 49ers,5
AKA Green,17,Walter Payton,Chicago Bears,5
AKA Green,18,Deion Sanders,Dallas Cowboys,5
AKA Green,19,Peyton Manning,Indianapolis Colts,5
AKA Green,20,Rob Gronkowski,New England Patriots,5
AKA Green,21,J.J. Watt,Houston Texans,5
AKA Green,22,Joe Montana,San Francisco 49ers,5
AKA Green,23,Ben Roethlisberger,Pittsburgh Steelers,5
AKA Green,24,Le'Veon Bell,Pittsburgh Steelers,5
AKA Green,25,Lance Alworth,San Diego Chargers,5
AKA Green,26,Red Grange,Chicago Bears,5
AKA Green,27,Mitchell Trubisky,Chicago Bears,5
AKA Green,28,John Ross III,Cincinnati Bengals,5
AKA Green,29,Jabrill Peppers,Cleveland Browns,5
AKA Green,30,Patrick Mahomes II,Kansas City Chiefs,5
AKA Red,1,Roger Staubach,Dallas Cowboys,99
AKA Red,2,Jameis Winston,Tampa Bay Buccaneers,99
AKA Red,3,Travis Kelce,Kansas City Chiefs,99
AKA Red,4,Joe Namath,New York Jets,99
AKA Red,5,Marshawn Lynch,Oakland Raiders,99
AKA Red,6,Cam Newton,Carolina Panthers,99
AKA Red,7,Randy White,Dallas Cowboys,99
AKA Red,8,Ezekiel Elliott,Dallas Cowboys,99
AKA Red,9,Terry Bradshaw,Pittsburgh Steelers,99
AKA Red,10,Jerome Bettis,Pittsburgh Steelers,99
AKA Red,11,Tyrann Mathieu,Arizona Cardinals,99
AKA Red,12,Christian Okoye,Kansas City Chiefs,99
AKA Red,13,Ed Reed,Baltimore Ravens,99
AKA Red,14,Gale Sayers,Chicago Bears,99
AKA Red,15,Tom Brady,New England Patriots,99
AKA Red,16,Jerry Rice,San Francisco 49ers,99
AKA Red,17,Walter Payton,Chicago Bears,99
AKA Red,18,Deion Sanders,Dallas Cowboys,99
AKA Red,19,Peyton Manning,Indianapolis Colts,99
AKA Red,20,Rob Gronkowski,New England Patriots,99
AKA Red,21,J.J. Watt,Houston Texans,99
AKA Red,22,Joe Montana,San Francisco 49ers,99
AKA Red,23,Ben Roethlisberger,Pittsburgh Steelers,99
AKA Red,24,Le'Veon Bell,Pittsburgh Steelers,99
AKA Red,25,Lance Alworth,San Diego Chargers,99
AKA Red,26,Red Grange,Chicago Bears,99
AKA Red,27,Mitchell Trubisky,Chicago Bears,99
AKA Red,28,John Ross III,Cincinnati Bengals,99
AKA Red,29,Jabrill Peppers,Cleveland Browns,99
AKA Red,30,Patrick Mahomes II,Kansas City Chiefs,99
Base,1,Tom Brady,New England Patriots,
Base,2,Eli Manning,New York Giants,
Base,3,Lamar Miller,Houston Texans,
Base,4,Carson Wentz,Philadelphia Eagles,
Base,5,Melvin Gordon,Los Angeles Chargers,
